Date,Series,Value,Series,Value
2/10/2018,Volume Intensity,0,Average Tone,0
2/11/2018,Volume Intensity,0,Average Tone,0
2/12/2018,Volume Intensity,0.0006,Average Tone,-0.3163
2/13/2018,Volume Intensity,0.0004,Average Tone,0.2573
2/14/2018,Volume Intensity,0.0003,Average Tone,-0.157
2/15/2018,Volume Intensity,0.0002,Average Tone,-0.53
2/16/2018,Volume Intensity,0.0002,Average Tone,-2.6782
2/17/2018,Volume Intensity,0.0002,Average Tone,0.5359
2/18/2018,Volume Intensity,0.0003,Average Tone,1.6834
2/19/2018,Volume Intensity,0.0002,Average Tone,3.7849
2/20/2018,Volume Intensity,0.0003,Average Tone,-2.6495
2/21/2018,Volume Intensity,0.0002,Average Tone,0.6742
2/22/2018,Volume Intensity,0.0002,Average Tone,1.9288
2/23/2018,Volume Intensity,0.0002,Average Tone,0.5875
2/24/2018,Volume Intensity,0.0004,Average Tone,0.8087
2/25/2018,Volume Intensity,0.0003,Average Tone,0.6993
2/26/2018,Volume Intensity,0,Average Tone,0
2/27/2018,Volume Intensity,0,Average Tone,0
2/28/2018,Volume Intensity,0.0003,Average Tone,1.0702
3/1/2018,Volume Intensity,0.0003,Average Tone,-2.1545
3/2/2018,Volume Intensity,0.0002,Average Tone,-1.6949
3/3/2018,Volume Intensity,0.0008,Average Tone,-0.1521
3/4/2018,Volume Intensity,0,Average Tone,0
3/5/2018,Volume Intensity,0,Average Tone,0
3/6/2018,Volume Intensity,0,Average Tone,0
3/7/2018,Volume Intensity,0.0001,Average Tone,-1.9685
3/8/2018,Volume Intensity,0.0002,Average Tone,-1.3731
3/9/2018,Volume Intensity,0.0003,Average Tone,-0.4665
3/10/2018,Volume Intensity,0,Average Tone,0
3/11/2018,Volume Intensity,0.0003,Average Tone,-2.6596
3/12/2018,Volume Intensity,0.0002,Average Tone,1.5023
3/13/2018,Volume Intensity,0.0002,Average Tone,-2.332
3/14/2018,Volume Intensity,0,Average Tone,0
3/15/2018,Volume Intensity,0.0005,Average Tone,-0.1177
3/16/2018,Volume Intensity,0,Average Tone,0
3/17/2018,Volume Intensity,0,Average Tone,0
3/18/2018,Volume Intensity,0,Average Tone,0
3/19/2018,Volume Intensity,0,Average Tone,0
3/20/2018,Volume Intensity,0.0003,Average Tone,-0.9149
3/21/2018,Volume Intensity,0.0003,Average Tone,1.1039
3/22/2018,Volume Intensity,0.0002,Average Tone,-1.6273
3/23/2018,Volume Intensity,0.0005,Average Tone,1.9728
3/24/2018,Volume Intensity,0.0003,Average Tone,-2.6882
3/25/2018,Volume Intensity,0.0003,Average Tone,-2.3443
3/26/2018,Volume Intensity,0,Average Tone,0
3/27/2018,Volume Intensity,0.0002,Average Tone,1.1628
3/28/2018,Volume Intensity,0.0006,Average Tone,-2.4467
3/29/2018,Volume Intensity,0.0003,Average Tone,-0.9144
3/30/2018,Volume Intensity,0,Average Tone,0
3/31/2018,Volume Intensity,0,Average Tone,0
4/1/2018,Volume Intensity,0,Average Tone,0
4/2/2018,Volume Intensity,0,Average Tone,0
4/3/2018,Volume Intensity,0.0005,Average Tone,-1.0947
4/4/2018,Volume Intensity,0.0004,Average Tone,-0.5116
4/5/2018,Volume Intensity,0.0002,Average Tone,6.5104
4/6/2018,Volume Intensity,0,Average Tone,0
4/7/2018,Volume Intensity,0,Average Tone,0
4/8/2018,Volume Intensity,0,Average Tone,0
4/9/2018,Volume Intensity,0.0006,Average Tone,0.8041
4/10/2018,Volume Intensity,0.0004,Average Tone,-0.4901
4/11/2018,Volume Intensity,0.0003,Average Tone,-2.5295
4/12/2018,Volume Intensity,0.0001,Average Tone,-2.8538
4/13/2018,Volume Intensity,0.0003,Average Tone,-0.5683
4/14/2018,Volume Intensity,0.0002,Average Tone,-3.9359
4/15/2018,Volume Intensity,0.0003,Average Tone,-5.2459
4/16/2018,Volume Intensity,0.0012,Average Tone,-3.4693
